OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1351,4.109589041,0.027527127,0,0,-1.560239119,NA
OTU_1354,0,0,98.11320755,0.070498234,NA,-1.151821763
OTU_1356,1.369863014,0.001686312,79.24528302,0.031462175,-2.773062069,-1.502211257
OTU_1358,0,0,86.79245283,0.034364001,NA,-1.463896278
OTU_1359,26.02739726,0.157318669,5.660377358,0.003710326,-0.803219736,-2.430587891
OTU_136,0,0,0,0,NA,NA
OTU_1360,1.369863014,0.030070666,100,0.084377826,-1.521856953,-1.073771666
OTU_1361,0,0,43.39622642,0.054232007,NA,-1.265744324
OTU_1362,0,0,67.9245283,0.061580297,NA,-1.210558224
OTU_1363,0,0,69.81132075,0.020933235,NA,-1.679163643
OTU_1364,0,0,100,0.066345716,NA,-1.178187113
OTU_1365,4.109589041,0.004902943,98.11320755,0.04690601,-2.309543126,-1.328771504
OTU_1366,0,0,0,0,NA,NA
OTU_1367,0,0,26.41509434,0.008318092,NA,-2.079976258
OTU_1368,0,0,71.69811321,0.041196916,NA,-1.385135294
OTU_137,24.65753425,1.897319086,79.24528302,0.011920942,0.278140375,-1.923689413
OTU_1370,0,0,39.62264151,0.068326193,NA,-1.165412778
OTU_1371,1.369863014,0.018807598,90.56603774,0.037526262,-1.725666667,-1.425664696
OTU_1374,0,0,62.26415094,0.056141215,NA,-1.250718196
OTU_1376,5.479452055,0.516285419,0,0,-0.28711014,NA
OTU_1377,4.109589041,1.326851742,0,0,0.122822399,NA
OTU_1378,0,0,66.03773585,0.039268054,NA,-1.405960618
OTU_1379,8.219178082,0.117343686,0,0,-0.930540276,NA
OTU_138,39.7260274,0.973182051,3.773584906,0.00257259,-0.01180591,-2.589629423
OTU_1381,0,0,1.886792453,0.001399796,NA,-2.853935252
OTU_1382,0,0,90.56603774,0.045347585,NA,-1.343445835
OTU_1384,9.589041096,0.03129199,54.71698113,0.01261471,-1.504566811,-1.899122723
OTU_1385,1.369863014,0.148030933,0,0,-0.829647524,NA
OTU_1386,13.69863014,0.03542318,9.433962264,0.005531822,-1.450712453,-2.257131803
OTU_1388,1.369863014,0.005599418,73.58490566,0.01647805,-2.251857111,-1.783094182
OTU_1389,0,0,0,0,NA,NA
OTU_139,17.80821918,0.445065809,0,0,-0.351575768,NA
OTU_1390,9.589041096,0.287410656,0,0,-0.541497134,NA
OTU_1391,24.65753425,0.12355099,32.0754717,0.008048869,-0.908153771,-2.094265163
OTU_1392,0,0,86.79245283,0.047087498,NA,-1.327094386
OTU_1393,0,0,69.81132075,0.027627551,NA,-1.558657617
OTU_1394,1.369863014,0.036936236,0,0,-1.432547364,NA
